famille,symbole,candidats,trades,R_moyen,IC95,taux_reussite,drawdown_R,taux_ambigu,R_cout_majore,bat_hasard,p_value,portes_franchies,gate,echecs,q_value,survit_correction
niveaux_ronds[rejet],NAS100,7103,2649,-0.0214,"(-0.0741, 0.0329)",0.3499,-99.409,0.0087,-0.0535,0.915,0.08955223880597014,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.5380788365862993,False
niveaux_ronds[cassure],NAS100,7103,2627,-0.0456,"(-0.0992, 0.0088)",0.343,-159.873,0.0053,-0.0786,0.73,0.2736318407960199,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.7787983161117489,False
momentum_series_temporelles,NAS100,972,965,0.0477,"(-0.0426, 0.1377)",0.3617,-38.929,0.0052,0.0308,0.695,0.30845771144278605,3,False,"IC_exclut_0, bat_hasard",0.8152096659559346,False
cassure[aucun]/suiveur1.0R,NAS100,871,814,0.1047,"(0.0288, 0.1796)",0.4496,-14.908,0.0221,0.086,0.995,0.009950248756218905,5,True,,0.18407960199004975,False
cassure[aucun]/seuil1.0R,NAS100,871,790,0.0677,"(-0.0226, 0.156)",0.2848,-23.261,0.0114,0.0491,0.995,0.009950248756218905,4,False,IC_exclut_0,0.18407960199004975,False
cassure[aucun]/cloture21h,NAS100,871,784,0.0711,"(-0.0257, 0.1685)",0.3916,-19.619,0.0064,0.0524,0.995,0.009950248756218905,4,False,IC_exclut_0,0.18407960199004975,False
lead_lag[XAUUSD]+,NAS100,1309,1128,-0.049,"(-0.13, 0.0331)",0.3422,-71.371,0.0098,-0.0824,0.57,0.43283582089552236,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8897180762852405,False
lead_lag[XAUUSD]-,NAS100,1309,1114,-0.0608,"(-0.1432, 0.0227)",0.3357,-70.441,0.0072,-0.0942,0.575,0.42786069651741293,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8897180762852405,False
divergence_correlation[XAUUSD],NAS100,251,204,-0.0094,"(-0.2057, 0.1881)",0.3529,-24.762,0.0098,-0.041,0.74,0.263681592039801,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.7787983161117489,False
cointegration[XAUUSD],NAS100,23,23,-0.4443,"(-0.8838, 0.0905)",0.2174,-14.511,0.0435,-0.4925,0.1,0.900497512437811,0,False,"echantillon_suffisant, R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",1.0,False
seance_derive,XAUUSD,2063,2035,-0.1042,"(-0.1653, -0.0414)",0.3332,-230.201,0.0123,-0.1524,0.49,0.5124378109452736,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9028666192845297,False
opening_range,XAUUSD,1608,1432,-0.1262,"(-0.1981, -0.0533)",0.3296,-186.569,0.0084,-0.1751,0.38,0.6218905472636815,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9277611940298507,False
fin_de_mois,XAUUSD,333,331,-0.0734,"(-0.2224, 0.081)",0.3444,-27.824,0.003,-0.1218,0.79,0.21393034825870647,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.753849798625918,False
cassure[aucun],XAUUSD,1131,1024,-0.0893,"(-0.1748, -0.0007)",0.3398,-100.683,0.0059,-0.1349,0.705,0.29850746268656714,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.8152096659559346,False
cassure[adx],XAUUSD,601,551,-0.1307,"(-0.2449, -0.0149)",0.3249,-76.102,0.0036,-0.1764,0.4,0.6019900497512438,1,False,"R_positif, IC_exclut_0, bat_hasard, robuste_au_cout",0.9277611940298507,False
cassure[compression],XAUUSD,64,64,0.0562,"(-0.3136, 0.4265)",0.3906,-12.459,0.0,-0.0016,0.77,0.23383084577114427,1,False,"echantillon_suffisant, IC_exclut_0, bat_hasard, robuste_au_cout",0.7787983161117489,False
